ID,Recidivism_Arrest_Year1
6,0.15561196
8,0.25229397
12,0.20848118
15,0.21467544
16,0.13591683
23,0.11048116
27,0.20395586
28,0.338258
31,0.45607403
35,0.32214898
43,0.29544267
44,0.5015858
45,0.3472432
46,0.13559522
49,0.19725116
58,0.35457215
60,0.23987547
63,0.36243346
67,0.4035271
72,0.34961823
81,0.44014692
83,0.32062206
87,0.33801284
89,0.37574813
98,0.23774546
102,0.1664732
103,0.20633665
105,0.23597136
106,0.38759148
107,0.32466015
118,0.104977295
120,0.13524038
123,0.4830784
132,0.5727645
136,0.2573476
138,0.36098447
140,0.51319355
147,0.15503298
150,0.14199933
154,0.3046162
157,0.2407024
159,0.27690014
160,0.54475063
165,0.56925136
167,0.36803588
169,0.60924095
171,0.25386164
175,0.2209937
178,0.31058645
179,0.2407026
182,0.34765756
193,0.24212857
198,0.17420407
206,0.53589785
208,0.3556965
209,0.38236138
211,0.23156725
214,0.21461132
216,0.29146048
217,0.42030653
222,0.2774516
232,0.184814
233,0.208869
235,0.5930342
242,0.31352195
244,0.36330512
248,0.15098648
256,0.17870894
258,0.30781347
263,0.5706976
270,0.33691967
272,0.3788378
275,0.17242244
278,0.5951007
279,0.52688855
282,0.22642848
286,0.50131965
288,0.3386114
291,0.29007912
295,0.24300735
300,0.39649582
301,0.5747553
307,0.28083163
308,0.5530305
309,0.24673776
312,0.27847204
313,0.42078802
315,0.061949488
318,0.2566626
321,0.25124085
330,0.4128041
332,0.25469434
341,0.09750986
348,0.32814544
350,0.27556732
353,0.3667382
356,0.19599319
357,0.24423325
362,0.2753829
363,0.24905889
364,0.3946757
365,0.34477073
371,0.09337636
372,0.24612953
374,0.28406543
380,0.05661542
386,0.34404448
387,0.21492662
390,0.335029
400,0.4725113
402,0.08687892
406,0.14213993
410,0.5116965
411,0.119848944
415,0.45301238
420,0.3160796
427,0.08395313
438,0.70857775
440,0.26838887
445,0.33142334
449,0.1867652
451,0.2803327
452,0.19841704
453,0.38469887
457,0.23163433
463,0.49573994
473,0.449562
475,0.34087873
482,0.35014683
484,0.4174865
486,0.1624099
489,0.28566313
492,0.41699016
494,0.12935156
496,0.16459271
497,0.3065418
498,0.2625571
499,0.59496766
503,0.18548156
506,0.42345333
509,0.31033558
512,0.33236903
514,0.26501295
516,0.33226767
521,0.57822627
529,0.27586302
535,0.1975297
537,0.535624
543,0.34152704
551,0.33501828
552,0.18022943
553,0.39822936
557,0.22783239
558,0.15181166
569,0.22591662
571,0.29462636
577,0.3647454
578,0.32070488
579,0.2822936
581,0.4841601
584,0.5455639
588,0.4983717
589,0.40402713
592,0.1476797
596,0.13802163
597,0.43888596
599,0.23736177
601,0.26297733
604,0.48877153
606,0.44969362
608,0.48355046
610,0.13594788
613,0.6461349
617,0.23239513
618,0.053780176
625,0.43881202
626,0.4357667
628,0.3336831
632,0.1397843
634,0.34997776
637,0.27153873
640,0.15996297
645,0.39240742
646,0.115286484
647,0.4805977
648,0.44972235
653,0.55820537
655,0.539927
656,0.35621378
659,0.30633777
661,0.26755095
662,0.28538892
665,0.37147513
671,0.20474254
676,0.2872049
678,0.25884122
679,0.71483463
683,0.14572483
684,0.379761
686,0.112988085
687,0.5868334
692,0.29728377
694,0.5926851
695,0.16893533
698,0.2872225
699,0.11295834
708,0.19995269
709,0.253175
711,0.23621848
714,0.092102095
716,0.083061785
720,0.32918182
721,0.1247208
726,0.2947801
729,0.32538363
731,0.12328832
737,0.34630343
738,0.32514054
739,0.5039349
741,0.17714836
742,0.18351108
750,0.3787923
753,0.35870507
760,0.20404585
761,0.1929411
764,0.35687685
773,0.430216
774,0.31946856
781,0.060463212
786,0.5273837
789,0.31772292
793,0.4537047
794,0.44925174
796,0.1329742
797,0.3246075
798,0.17710285
803,0.09516378
805,0.41539106
809,0.44318506
813,0.40047646
815,0.1612949
816,0.17833859
821,0.1679974
822,0.2685475
824,0.44702926
825,0.5851077
826,0.5282565
827,0.32742423
835,0.072170004
837,0.29892233
838,0.36040872
840,0.15009338
846,0.34357908
847,0.47653416
849,0.2117225
854,0.40132695
860,0.07392917
869,0.34218433
872,0.3562315
874,0.55386275
875,0.2354614
879,0.31674162
880,0.19980682
888,0.0516241
889,0.16964182
891,0.21048021
892,0.2121147
898,0.15794028
900,0.5164496
901,0.3073037
902,0.08204347
907,0.28702483
910,0.70175904
912,0.47807327
917,0.087539256
920,0.33122322
925,0.5172078
927,0.24202375
928,0.17256269
933,0.21184596
934,0.3567506
939,0.17870672
944,0.15718998
